NomAutonomia;NumSuspensions;Actiu;Passiu;Autonomia
Andalucía;32;211828;203255;1
Aragón;7;5709;4233;2
Asturias, Principado de;9;17926;16748;3
Balears, Iles;5;17725;15572;4
Canarias;3;3820;3074;5
Cantabria;2;13686;11116;6
Castilla y León;15;58168;45174;7
Castilla - La Mancha;8;39732;29657;8
Catalunya;90;373328;278797;9
Comunitat Valencina;53;137323;104615;10
Extremadura;7;14209;14450;11
Galicia;10;10243;7777;12
Madrid, Comunidad de;43;296784;280117;13
Murcia, Región de;10;89049;73819;14
Navarra, Comunidad Foral de;2;1956;7077;15
País Vasco;12;16002;14081;16
Rioja, La;5;6586;6552;17
Ceuta;2;8953;7534;18
Melilla;1;4850;3312;19
